ANNO;CODICE_MESE;NOME_MESE;CODICE_PRODOTTO;NOME_PRODOTTO;PREZZO;IVA;ACCISA;NETTO
2013;8;Agosto;2;Gasolio auto;1.658,04;287,76;617,4;752,88
2013;9;Settembre;2;Gasolio auto;1.676,67;290,99;617,4;768,28
2013;10;Ottobre;2;Gasolio auto;1.659,69;299,29;617,4;743
2013;11;Novembre;2;Gasolio auto;1.636,63;295,13;617,4;724,1
2013;12;Dicembre;2;Gasolio auto;1.656,56;298,73;617,4;740,43
2014;1;Gennaio;2;Gasolio auto;1.648,99;297,36;617,4;734,23
2014;2;Febbraio;2;Gasolio auto;1.637,83;295,34;617,4;725,08
2014;3;Marzo;2;Gasolio auto;1.631,47;294,2;619,8;717,47
2014;4;Aprile;2;Gasolio auto;1.628,55;293,67;619,8;715,08
2014;5;Maggio;2;Gasolio auto;1.630,68;294,06;619,8;716,82
2014;6;Giugno;2;Gasolio auto;1.632,08;294,31;619,8;717,98
2014;7;Luglio;2;Gasolio auto;1.635,64;294,95;619,8;720,89
2014;8;Agosto;2;Gasolio auto;1.621,61;292,42;619,8;709,39
2014;9;Settembre;2;Gasolio auto;1.614,78;291,19;619,8;703,79
2014;10;Ottobre;2;Gasolio auto;1.593,24;287,31;619,8;686,13
2014;11;Novembre;2;Gasolio auto;1.553,45;280,13;619,8;653,52
2014;12;Dicembre;2;Gasolio auto;1.493,47;269,31;619,8;604,36
2015;1;Gennaio;2;Gasolio auto;1.387,26;250,16;617,4;519,7
2015;2;Febbraio;2;Gasolio auto;1.400,39;252,53;617,4;530,46
2015;3;Marzo;2;Gasolio auto;1.462,26;263,69;617,4;581,18
2015;4;Aprile;2;Gasolio auto;1.447,72;261,06;617,4;569,26
2015;5;Maggio;2;Gasolio auto;1.480,2;266,92;617,4;595,88
2015;6;Giugno;2;Gasolio auto;1.477,54;266,44;617,4;593,7
2015;7;Luglio;2;Gasolio auto;1.451,55;261,76;617,4;572,4
2015;8;Agosto;2;Gasolio auto;1.398,76;252,23;617,4;529,12
2015;9;Settembre;2;Gasolio auto;1.360,03;245,25;617,4;497,37
2015;10;Ottobre;2;Gasolio auto;1.348,4;243,15;617,4;487,84
2015;11;Novembre;2;Gasolio auto;1.340,52;241,73;617,4;481,38
2015;12;Dicembre;2;Gasolio auto;1.308,85;236,02;617,4;455,43
2016;1;Gennaio;2;Gasolio auto;1.232,82;222,31;617,4;393,11
2016;2;Febbraio;2;Gasolio auto;1.192,42;215,03;617,4;359,99
2016;3;Marzo;2;Gasolio auto;1.225,1;220,92;617,4;386,78
2016;4;Aprile;2;Gasolio auto;1.237,68;223,19;617,4;397,09
2016;5;Maggio;2;Gasolio auto;1.276,22;230,14;617,4;428,68
2016;6;Giugno;2;Gasolio auto;1.319,02;237,86;617,4;463,76
2016;7;Luglio;2;Gasolio auto;1.306,53;235,6;617,4;453,52
2016;8;Agosto;2;Gasolio auto;1.288,19;232,3;617,4;438,49
2016;9;Settembre;2;Gasolio auto;1.300,44;234,51;617,4;448,54
2016;10;Ottobre;2;Gasolio auto;1.320,99;238,21;617,4;465,38
2016;11;Novembre;2;Gasolio auto;1.327,16;239,32;617,4;470,44
2016;12;Dicembre;2;Gasolio auto;1.351,85;243,78;617,4;490,68
2017;1;Gennaio;2;Gasolio auto;1.398,15;252,13;617,4;528,62
2017;2;Febbraio;2;Gasolio auto;1.399,85;252,43;617,4;530,02
2017;3;Marzo;2;Gasolio auto;1.393,97;251,37;617,4;525,2
2017;4;Aprile;2;Gasolio auto;1.403,33;253,06;617,4;532,87
2017;5;Maggio;2;Gasolio auto;1.379,64;248,79;617,4;513,45
2017;6;Giugno;2;Gasolio auto;1.352;243,81;617,4;490,8
2017;7;Luglio;2;Gasolio auto;1.338,28;241,33;617,4;479,55
2017;8;Agosto;2;Gasolio auto;1.354,31;244,22;617,4;492,69
2017;9;Settembre;2;Gasolio auto;1.373,19;247,62;617,4;508,17
2017;10;Ottobre;2;Gasolio auto;1.387,45;250,2;617,4;519,86
2017;11;Novembre;2;Gasolio auto;1.413,08;254,82;617,4;540,86
2017;12;Dicembre;2;Gasolio auto;1.421,13;256,27;617,4;547,46
2018;1;Gennaio;2;Gasolio auto;1.443,27;260,26;617,4;565,6
